Page,Top Fold,Bottom Fold
286,Fold back completely.,
284,Fold back completely.,
282,Fold back completely.,
280,Fold back completely.,
278,Fold back completely.,
276,Fold back completely.,
274,Fold back completely.,
272,Fold back completely.,
270,Fold back completely.,
268,Fold back completely.,
266,Fold back completely.,
264,Fold back completely.,
262,Fold back completely.,
260,Fold back completely.,
258,Fold back completely.,
256,Fold back completely.,
254,7.02,8.29
252,6.58,8.83
250,6.74,9.03
248,6.84,9.18
246,6.92,9.3
244,6.98,9.4
242,4.36,4.86
240,7.04,9.57
238,4.03,5.19
236,7.05,9.7
234,3.93,9.75
232,12.18,12.35
230,3.94,9.82
228,11.89,12.31
226,4.05,5.19
224,7.05,9.87
222,11.35,12.05
220,11.13,11.95
218,7.05,9.88
216,10.5,11.73
214,7.05,11.61
212,7.05,11.49
210,7.05,11.36
208,7.05,11.22
206,7.07,11.07
204,15.99,16.8
202,7.16,10.75
200,14.67,16.98
198,7.37,10.36
196,14.19,16.98
194,7.76,9.81
192,14.15,16.98
190,6.57,8.87
188,14.15,16.98
186,6.85,9.22
184,14.15,16.98
182,6.99,9.44
180,14.15,16.98
178,7.05,9.6
176,14.15,16.98
174,7.05,9.72
172,14.15,16.98
170,7.05,9.8
168,14.15,16.98
166,7.05,9.85
164,14.15,16.98
162,7.05,9.87
160,14.15,16.98
158,7.05,9.88
156,14.15,16.98
154,7.05,9.88
152,14.15,16.98
150,7.05,9.88
148,14.15,16.98
146,7.05,9.88
144,14.15,16.98
142,7.05,9.88
140,14.15,16.98
138,7.05,9.88
136,14.15,16.98
134,7.05,9.88
132,14.15,16.98
130,7.05,9.88
128,14.15,16.98
126,7.05,9.88
124,14.15,16.98
122,7.05,9.88
120,14.14,16.98
118,7.05,9.88
116,14.13,16.98
114,7.05,9.88
112,14.12,16.98
110,7.05,9.88
108,14.1,16.98
106,7.05,9.88
104,14.08,16.98
102,7.05,9.88
100,14.06,16.95
98,7.05,9.88
96,14.04,16.91
94,7.05,9.88
92,14.02,16.83
90,7.05,9.88
88,14.0,16.74
86,7.05,9.88
84,13.96,16.63
82,7.05,9.88
80,13.91,16.51
78,7.06,9.88
76,13.8,16.37
74,7.09,9.93
72,13.67,16.22
70,7.13,10.05
68,13.53,16.04
66,7.2,10.27
64,13.33,15.85
62,7.31,10.59
60,13.03,15.65
58,7.46,11.02
56,12.5,15.43
54,7.68,15.32
52,7.81,15.19
50,7.96,15.06
48,8.12,14.91
46,8.3,14.72
44,8.5,14.51
42,8.71,14.28
40,8.99,14.04
38,9.3,13.77
36,9.65,13.45
34,10.12,12.97
32,Fold back completely.,
30,Fold back completely.,
28,Fold back completely.,
26,Fold back completely.,
24,Fold back completely.,
22,Fold back completely.,
20,Fold back completely.,
18,Fold back completely.,
16,Fold back completely.,
14,Fold back completely.,
12,Fold back completely.,
10,Fold back completely.,
8,Fold back completely.,
6,Fold back completely.,
